	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	USERID	TweetTime	TweetID	Tweet	(1) Very General	(2) General	(3) Specific	(4) Very specific	(5) Extremely Specific	NA	Majority	Score	Time	time_zone	weeks	hours	month	date
1386	2072	2072	2072	2072	2072	21445028	2017	830484158728241152	<USER> We 'll be at NY Fashion Week next week so it might be a little tight but I can make time for you . . .  😅 	0	0	4	2	0	0	3	3.333333333333333	Sat Feb 11 18:30:27 +0000 2017	Pacific Time (US & Canada)	Sat	11	Feb	11
1387	2073	2073	2073	2073	2073	21445028	2016	801643063429001216	<USER> Shit is fucked up right now . Really fucked up right now . But shit still matters . We just need to have the balls to fix it . 	2	4	0	0	0	0	2	1.6666666666666667	Thu Nov 24 04:26:14 +0000 2016	Pacific Time (US & Canada)	Wed	20	Nov	23
1388	2074	2074	2074	2074	2074	221264179	2013	401041390869557248	I know this is not breaking news here . . . but how is the Mayor of Toronto still the Mayor of Toronto ? 	0	1	2	2	1	0	3	3.5	Thu Nov 14 17:38:13 +0000 2013	Hawaii	Thu	8	Nov	14
1389	2075	2075	2075	2075	2075	221264179	2013	401533737243922433	And now lights are completely out . Teams warming up	0	5	1	0	0	0	2	2.1666666666666665	Sat Nov 16 02:14:37 +0000 2013	Hawaii	Fri	16	Nov	15
1390	2076	2076	2076	2076	2076	2212956689	2016	810626674534531073	<USER> make up your mind	4	0	2	0	0	0	1	1.6666666666666667	Sun Dec 18 23:23:54 +0000 2016	Pacific Time (US & Canada)	Sun	15	Dec	18
1391	2077	2077	2077	2077	2077	2212956689	2015	585584089450860545	<USER> <USER> <USER> <USER> Somebody needs to say this to him	2	2	1	1	0	0	1	2.1666666666666665	Tue Apr 07 23:25:01 +0000 2015	Pacific Time (US & Canada)	Tue	16	Apr	7
1392	2078	2078	2078	2078	2078	2213139331	2015	608329161392930817	BREAKING Wikileaks exposes another secret deal like #TPP . Congress votes this week ! <URL> <URL> <USER>	0	2	1	3	0	0	4	3.1666666666666665	Tue Jun 09 17:45:48 +0000 2015	Eastern Time (US & Canada)	Tue	13	Jun	9
1393	2079	2079	2079	2079	2079	2213139331	2017	822535322835763200	 . <USER> <USER> Prez should protect Sacred Water , not bow down to Big Oil . #NoDAPL #WaterIsLife #ResistJ20 <URL>	0	0	5	1	0	0	3	3.1666666666666665	Fri Jan 20 20:04:37 +0000 2017	Eastern Time (US & Canada)	Fri	15	Jan	20
1394	2080	2080	2080	2080	2080	221415923	2011	65867587917062144	just sold $DTE nice profit and bought $HOT : ) 	2	2	1	1	0	0	1	2.1666666666666665	Wed May 04 19:57:11 +0000 2011	Eastern Time (US & Canada)	Wed	15	May	4
1395	2081	2081	2081	2081	2081	221415923	2013	415118164779732992	<USER> morning Paul , wow I'm seeing a lot o green today , and its not even 9 am yet , CAMP FIVE TSCO , rare green pre open : ) 	0	2	1	3	0	0	4	3.1666666666666665	Mon Dec 23 13:54:17 +0000 2013	Eastern Time (US & Canada)	Mon	9	Dec	23
1396	2090	2090	2090	2090	2090	21820044	2009	6782843832	Suggestions from frequent travelers : What 's the best or worst airline ? 	1	5	0	0	0	0	2	1.8333333333333333	Fri Dec 18 02:12:19 +0000 2009	Eastern Time (US & Canada)	Thu	21	Dec	17
1397	2091	2091	2091	2091	2091	21820044	2015	647532482515087364	<USER> <USER> <USER> great show ! ! ! I loved the dating profiles , if I were single I 'd be snapping	0	2	4	0	0	0	3	2.6666666666666665	Fri Sep 25 22:05:49 +0000 2015	Eastern Time (US & Canada)	Fri	17	Sep	25
1398	2092	2092	2092	2092	2092	218329062	2016	684148832125325312	<USER> <USER> <USER> <USER> I'm confused . Hoffman was good enough to have his name on an award but not First Ballot HOFer ? ? 	0	1	3	1	1	0	3	3.333333333333333	Mon Jan 04 23:06:07 +0000 2016	Pacific Time (US & Canada)	Mon	15	Jan	4
1399	2093	2093	2093	2093	2093	218329062	2017	851670667187507200	<USER> <USER> What happened to the other announcer . Have n't heard from her in awhile . Maybe she ran out of good… <URL>	0	2	3	1	0	0	3	2.833333333333333	Tue Apr 11 05:38:04 +0000 2017	Pacific Time (US & Canada)	Mon	23	Apr	10
1400	2096	2096	2096	2096	2096	2180905566	2014	535495993564073984	Trenchant , if depressing , analysis from <USER> on US-India WTO deal <URL>	1	1	1	2	1	0	4	3.1666666666666665	Thu Nov 20 18:12:48 +0000 2014	Pacific Time (US & Canada)	Thu	10	Nov	20
1401	2097	2097	2097	2097	2097	2180905566	2016	773909325077184518	<USER> <USER> Which is exactly what I say in the article ! 	0	3	3	0	0	0	2	2.5	Thu Sep 08 15:42:16 +0000 2016	Pacific Time (US & Canada)	Thu	9	Sep	8
1402	2098	2098	2098	2098	2098	21809300	2009	1276433564	At home from my 13 hour day , hopefully only 2 more of these to come . . . Waiting for subways ! 	0	3	2	0	1	0	2	2.833333333333333	Wed Mar 04 00:45:35 +0000 2009	Eastern Time (US & Canada)	Tue	20	Mar	3
1403	2099	2099	2099	2099	2099	21809300	2009	1320926956	Gonna unlock doors in a few . What a life . 	1	4	1	0	0	0	2	2.0	Fri Mar 13 09:37:05 +0000 2009	Eastern Time (US & Canada)	Fri	5	Mar	13
1404	2102	2102	2102	2102	2102	21812630	2009	2091474357	Today was Joey 's last day of school ! ! ! Yay for him , he 's finally done . . . now he has to pass his registry test on Thursday . 	0	1	2	2	1	0	3	3.5	Tue Jun 09 16:44:41 +0000 2009	Eastern Time (US & Canada)	Tue	12	Jun	9
1405	2103	2103	2103	2103	2103	21812630	2010	16895012380	Closing the shop from 6/30-7/7 for my SUMMER VACATION ! <URL>	0	3	3	0	0	0	2	2.5	Thu Jun 24 02:08:24 +0000 2010	Eastern Time (US & Canada)	Wed	21	Jun	23
1406	2106	2106	2106	2106	2106	22839475	2011	70028243687833600	The day you stop being naive is the day everyone stops lying to you . Then thats day you realize everyone is a liar . 	1	4	0	1	0	0	2	2.1666666666666665	Mon May 16 07:30:09 +0000 2011	Alaska	Mon	0	May	16
1407	2107	2107	2107	2107	2107	22839475	2012	166354892271792129	Randy moss wouldve cought that last pass . #justsayin	0	1	3	2	0	0	3	3.1666666666666665	Mon Feb 06 02:57:51 +0000 2012	Alaska	Sun	18	Feb	5
1408	2110	2110	2110	2110	2110	228675518	2015	612285547147591680	Something came in the mail today . . . 	2	3	1	0	0	0	2	1.8333333333333333	Sat Jun 20 15:47:04 +0000 2015	Central Time (US & Canada)	Sat	11	Jun	20
1409	2111	2111	2111	2111	2111	228675518	2015	632282132673634304	Any time one my friends say they want to go back to high school . . . <URL>	0	5	1	0	0	0	2	2.1666666666666665	Fri Aug 14 20:06:22 +0000 2015	Central Time (US & Canada)	Fri	15	Aug	14
1410	2114	2114	2114	2114	2114	22957679	2012	194168689640226818	The most impressive celeb at the Sparks 5K was Billy Mills - 1964 10K M gold medalist . Wow . <USER> <URL>	0	0	1	2	3	0	5	4.333333333333333	Sun Apr 22 20:59:58 +0000 2012	Eastern Time (US & Canada)	Sun	16	Apr	22
1411	2115	2115	2115	2115	2115	22957679	2013	347847305849884672	Heading to <USER> to watch <USER> and <USER> play in the #CWS tonight ! #PACK9 #WPN	0	1	2	2	1	0	3	3.5	Thu Jun 20 22:43:55 +0000 2013	Eastern Time (US & Canada)	Thu	18	Jun	20
1412	2120	2120	2120	2120	2120	2298505619	2016	718790984931360768	Just completed a 6 . 06 mi run - Got my six . . . Giggety . . . <URL> #Runkeeper	0	4	0	2	0	0	2	2.6666666666666665	Sat Apr 09 13:21:39 +0000 2016	Eastern Time (US & Canada)	Sat	8	Apr	9
1413	2121	2121	2121	2121	2121	2298505619	2015	594915605653880833	<USER> Verizon LG G2	2	0	3	1	0	0	3	2.5	Sun May 03 17:25:08 +0000 2015	Eastern Time (US & Canada)	Sun	12	May	3
1414	2124	2124	2124	2124	2124	21740223	2011	57478896421056512	Signed in2 my math class . . . dnt wanna b here . . . so I'm gonna sit here 4 a bit . . . then go help my friend type out an assignment . . . 	0	2	3	0	1	0	3	3.0	Mon Apr 11 16:23:31 +0000 2011	Pacific Time (US & Canada)	Mon	9	Apr	11
1415	2125	2125	2125	2125	2125	21740223	2011	54976841785675776	N-e one have a costco card I can use ? ? Lol I need 2 buy sum thingz from there ! ! ! ! N-e one ? N-e one ? Bueller ? 	0	2	3	1	0	0	3	2.833333333333333	Mon Apr 04 18:41:15 +0000 2011	Pacific Time (US & Canada)	Mon	12	Apr	4
1416	2126	2126	2126	2126	2126	21747362	2016	774142878255685634	Just killed a mosquito and along comes another one . WTFFF	1	3	1	1	0	0	2	2.333333333333333	Fri Sep 09 07:10:19 +0000 2016	Eastern Time (US & Canada)	Fri	2	Sep	9
1417	2127	2127	2127	2127	2127	21747362	2016	811438940402176000	<USER> lmao these are the best ! 	4	2	0	0	0	0	1	1.3333333333333333	Wed Dec 21 05:11:33 +0000 2016	Eastern Time (US & Canada)	Wed	0	Dec	21
1418	2128	2128	2128	2128	2128	2174955213	2017	900888721758801920	This is too true <URL>	5	1	0	0	0	0	1	1.1666666666666667	Fri Aug 25 01:13:03 +0000 2017	Pacific Time (US & Canada)	Thu	18	Aug	24
1419	2129	2129	2129	2129	2129	2174955213	2016	798270228400467968	I look particularly ugly today . . it 's stressing me out  🙄 	1	4	1	0	0	0	2	2.0	Mon Nov 14 21:03:48 +0000 2016	Pacific Time (US & Canada)	Mon	13	Nov	14
1420	2132	2132	2132	2132	2132	2177326815	2016	695310887658352642	Just posted a photo @ Grove , Oklahoma <URL>	1	2	1	2	0	0	2	2.6666666666666665	Thu Feb 04 18:20:08 +0000 2016	Pacific Time (US & Canada)	Thu	10	Feb	4
1421	2133	2133	2133	2133	2133	2177326815	2016	853828254658174980	Just posted a photo <URL>	4	2	0	0	0	0	1	1.3333333333333333	Mon Apr 17 04:31:33 +0000 2017	Pacific Time (US & Canada)	Sun	22	Apr	16
1422	2134	2134	2134	2134	2134	2147935069	2016	716015672392683520	Dirt Roads in Colorado <URL> <URL>	0	3	2	0	1	0	2	2.833333333333333	Fri Apr 01 21:33:33 +0000 2016	Pacific Time (US & Canada)	Fri	15	Apr	1
1423	2135	2135	2135	2135	2135	2147935069	2015	659032714675273728	What moments have electrified you lately ? <URL> <URL>	2	4	0	0	0	0	2	1.6666666666666667	Tue Oct 27 15:43:38 +0000 2015	Pacific Time (US & Canada)	Tue	9	Oct	27
1424	2140	2140	2140	2140	2140	21520456	2009	2005433646	Ending an awesome school year ! The kids accomplished so many great things & had some fantastic expereiences ! 	0	3	1	1	0	0	2	2.6	Tue Jun 02 16:41:24 +0000 2009	Eastern Time (US & Canada)	Tue	12	Jun	2
1425	2141	2141	2141	2141	2141	21520456	2009	1397201673	Soaking up the sun , sipping a cold brew , and reading an interesting new book ! 	0	4	0	1	0	0	2	2.4	Thu Mar 26 22:13:24 +0000 2009	Eastern Time (US & Canada)	Thu	17	Mar	26
1426	2142	2142	2142	2142	2142	21554736	2015	620652742487379968	<USER> can you guys please fix your servers already ? ! ? ! 	2	2	1	0	0	0	1	1.8	Mon Jul 13 17:55:19 +0000 2015	Pacific Time (US & Canada)	Mon	11	Jul	13
1427	2143	2143	2143	2143	2143	21554736	2015	608489536918687744	Great Times Await ! Come Join ! ! : <URL>	5	0	0	0	0	0	1	1.0	Wed Jun 10 04:23:05 +0000 2015	Pacific Time (US & Canada)	Tue	21	Jun	9
1428	2146	2146	2146	2146	2146	21600996	2009	1307968186	Tim has the bladder of a 90 year old man . 	0	1	2	2	0	0	3	3.2	Tue Mar 10 23:26:45 +0000 2009	Pacific Time (US & Canada)	Tue	16	Mar	10
1429	2147	2147	2147	2147	2147	21600996	2009	1243234394	This is lame . Be more productive . 	3	2	0	0	0	0	1	1.4	Tue Feb 24 01:58:06 +0000 2009	Pacific Time (US & Canada)	Mon	18	Feb	23
1430	2150	2150	2150	2150	2150	22091581	2009	2909949270	Not feeling well today . . . 	4	2	0	0	0	0	1	1.3333333333333333	Wed Jul 29 14:09:27 +0000 2009	Eastern Time (US & Canada)	Wed	9	Jul	29
1431	2151	2151	2151	2151	2151	22091581	2013	378234328712347648	<USER> Pick one to drop -- Givens , Michael Floyd , DHopkins , BBolden . 5PPR	0	1	3	1	1	0	3	3.333333333333333	Thu Sep 12 19:11:05 +0000 2013	Eastern Time (US & Canada)	Thu	14	Sep	12
1432	2156	2156	2156	2156	2156	2210969976	2014	430224423845502976	<USER> Perhaps the Granthams have more relatives from Scotland ? You should drop on in ! You and Violent would be delicious together ! 	0	1	3	2	0	0	3	3.1666666666666665	Mon Feb 03 06:21:10 +0000 2014	Eastern Time (US & Canada)	Mon	1	Feb	3
1433	2157	2157	2157	2157	2157	2210969976	2017	889624666788306948	<USER> Sweet Boy . . . may you be meeting all great Sox players beyond the Green Monster , comparing notes and playing catch . 	0	3	3	0	0	0	2	2.5	Mon Jul 24 23:13:43 +0000 2017	Eastern Time (US & Canada)	Mon	18	Jul	24
1434	2158	2158	2158	2158	2158	221246474	2013	296069335968018432	So fun great Monday ! <USER> <USER>	4	2	0	0	0	0	1	1.3333333333333333	Tue Jan 29 01:36:45 +0000 2013	Eastern Time (US & Canada)	Mon	21	Jan	28
1435	2159	2159	2159	2159	2159	221246474	2010	14809869378920448	Just won the YMA fashion scholarship ! ! ! #happiness	0	0	4	2	0	0	3	3.333333333333333	Tue Dec 14 22:32:02 +0000 2010	Eastern Time (US & Canada)	Tue	18	Dec	14
1436	2162	2162	2162	2162	2162	227561235	2014	484863556866015232	LEMONADE WITH NO LEMON ( Chatroulette ) <URL>	2	2	2	0	0	0	1	2.0	Fri Jul 04 00:57:34 +0000 2014	Eastern Time (US & Canada)	Thu	20	Jul	3
1437	2163	2163	2163	2163	2163	227561235	2015	681332460685234177	<USER> follow me back man . I just wanted to Bring the old twitter memories back . Your speech really touched my heart bro #Domforpres	0	2	3	0	1	0	3	3.0	Mon Dec 28 04:34:51 +0000 2015	Eastern Time (US & Canada)	Mon	0	Dec	28
1438	2168	2168	2168	2168	2168	227693052	2012	273419967985246208	<USER> I would LOVE help ! All our items changed from variable to simple . Then our Cart disappeared and I cant find/recreate it . 	0	2	4	0	0	0	3	2.6666666666666665	Tue Nov 27 13:36:14 +0000 2012	Eastern Time (US & Canada)	Tue	9	Nov	27
1439	2169	2169	2169	2169	2169	227693052	2011	147325211237285888	<USER> I want to make an appointment with you ! ! ! Are you busy this time of year ? 	0	4	2	0	0	0	2	2.333333333333333	Thu Dec 15 14:40:42 +0000 2011	Eastern Time (US & Canada)	Thu	10	Dec	15
1440	2170	2170	2170	2170	2170	211402106	2014	433503373787033600	“<USER> : How do you wake your tamagachi up from sleeping ? Asking 4 a friend” <USER> any advice	0	2	1	3	0	0	4	3.1666666666666665	Wed Feb 12 07:30:33 +0000 2014	Mountain Time (US & Canada)	Wed	2	Feb	12
1441	2171	2171	2171	2171	2171	211402106	2014	457054318831476737	<USER> omg sweet angel	4	2	0	0	0	0	1	1.3333333333333333	Fri Apr 18 07:13:35 +0000 2014	Mountain Time (US & Canada)	Fri	2	Apr	18
1442	2172	2172	2172	2172	2172	21148527	2014	423889675976474624	lmaoooo that first line <URL>	3	2	1	0	0	0	1	1.6666666666666667	Thu Jan 16 18:49:08 +0000 2014	Eastern Time (US & Canada)	Thu	14	Jan	16
1443	2173	2173	2173	2173	2173	21148527	2016	805906721373847553	Things I lost as a result of bottomless mimosas yesterday : hat , sunglasses , phone , wallet , car keys , dignity . Rough start to the week	0	0	2	3	1	0	4	3.8333333333333335	Mon Dec 05 22:48:30 +0000 2016	Eastern Time (US & Canada)	Mon	18	Dec	5
1444	2174	2174	2174	2174	2174	21156014	2014	549381355101245440	At least it helped me complete a series of achievements 100%	0	2	4	0	0	0	3	2.6666666666666665	Mon Dec 29 01:48:16 +0000 2014	Eastern Time (US & Canada)	Sun	21	Dec	28
1445	2175	2175	2175	2175	2175	21156014	2014	446760142965850112	Not even being sarcastic , they all sound great  😶 	1	3	2	0	0	0	2	2.1666666666666665	Thu Mar 20 21:28:13 +0000 2014	Eastern Time (US & Canada)	Thu	16	Mar	20
1446	2176	2176	2176	2176	2176	211684441	2016	741534521787482112	I ca n't even comprehend this . It hits me even harder because she was so young . #RIPChristinaGrimmie <URL>	0	0	3	2	1	0	3	3.6666666666666665	Sat Jun 11 07:36:21 +0000 2016	Pacific Time (US & Canada)	Sat	1	Jun	11
1447	2177	2177	2177	2177	2177	211684441	2012	268420727349329920	Mobile developer day @ Facebook ( with Ernie at Facebook HQ ) [pic] — <URL>	1	0	4	0	1	0	3	3.0	Tue Nov 13 18:31:03 +0000 2012	Pacific Time (US & Canada)	Tue	11	Nov	13
1448	2182	2182	2182	2182	2182	23317208	2015	587366260918190080	<USER> REVIS Island has been infiltrated	0	2	3	0	0	0	3	2.6	Sun Apr 12 21:26:43 +0000 2015	Eastern Time (US & Canada)	Sun	16	Apr	12
1449	2183	2183	2183	2183	2183	23317208	2015	666044027184267265	<USER> <USER> <USER> it IS his old team so #torn	1	3	1	0	0	0	2	2.0	Mon Nov 16 00:04:05 +0000 2015	Eastern Time (US & Canada)	Sun	19	Nov	15
1450	2186	2186	2186	2186	2186	23336089	2009	6426654905	Link : ZOMBO - accidentally awesome . <URL>	2	1	2	0	0	0	1	2.0	Mon Dec 07 09:44:54 +0000 2009	Eastern Time (US & Canada)	Mon	5	Dec	7
1451	2187	2187	2187	2187	2187	23336089	2010	11149151201	Audio : obkb : I’d say the same , dude . When I find a time machine , they’re the first show I’m traveling back to . . . <URL>	0	3	1	1	0	0	2	2.6	Sat Mar 27 15:44:41 +0000 2010	Eastern Time (US & Canada)	Sat	11	Mar	27
1452	2188	2188	2188	2188	2188	23337497	2015	611979174945902592	Even if I fall , I fell in the right direction #FreeFromItAll #Lecrae	2	2	0	1	0	0	1	2.0	Fri Jun 19 19:29:39 +0000 2015	Eastern Time (US & Canada)	Fri	14	Jun	19
1453	2189	2189	2189	2189	2189	23337497	2015	586573604093067265	Anyone wanna make plans for the weekend ? 	1	4	0	0	0	0	2	1.8	Fri Apr 10 16:56:59 +0000 2015	Eastern Time (US & Canada)	Fri	12	Apr	10
1454	2192	2192	2192	2192	2192	2256825164	2014	536075783237009409	I'm just popping bands  💵💵💵 	1	5	0	0	0	0	2	1.8333333333333333	Sat Nov 22 08:36:41 +0000 2014	Eastern Time (US & Canada)	Sat	4	Nov	22
1455	2193	2193	2193	2193	2193	2256825164	2014	541025594121916416	No I'm not	2	4	0	0	0	0	2	1.6666666666666667	Sat Dec 06 00:25:28 +0000 2014	Eastern Time (US & Canada)	Fri	19	Dec	5
1456	2204	2204	2204	2204	2204	2199801978	2017	894259616145604609	Here’s What You Missed This Week In News <URL>	0	3	3	0	0	0	2	2.5	Sun Aug 06 18:11:21 +0000 2017	Eastern Time (US & Canada)	Sun	13	Aug	6
1457	2205	2205	2205	2205	2205	2199801978	2017	923684757833158656	#BC17 Classic Shapes Up as Gun Runner vs . Bob Baffert and the Fab Four #BCSweepstakes - <URL> <URL>	0	0	2	3	1	0	4	3.8333333333333335	Thu Oct 26 22:56:22 +0000 2017	Eastern Time (US & Canada)	Thu	18	Oct	26
1458	2206	2206	2206	2206	2206	22005168	2010	12314930292	Me , a good book , my journal and <USER> . . . Much needed time of rejuvenation after a long week . . . Mmm s'good : ) 	0	2	2	2	0	0	2	3.0	Sat Apr 17 01:04:26 +0000 2010	Central Time (US & Canada)	Fri	20	Apr	16
1459	2207	2207	2207	2207	2207	22005168	2011	60033010791219200	Love when friends that I have n't seen in four years come into the store . Makes my day so happy ! ! 	0	2	2	0	2	0	2	3.333333333333333	Mon Apr 18 17:32:39 +0000 2011	Central Time (US & Canada)	Mon	13	Apr	18
1460	2210	2210	2210	2210	2210	2269063453	2014	507875219931795456	Just had an 70 year old man pass me going up the stairs while saying by Felicia ! Shit gets real on leg day . #legday #gymprobs #fitfam #squats	1	0	2	1	1	0	3	3.2	Fri Sep 05 12:57:42 +0000 2014	Eastern Time (US & Canada)	Fri	8	Sep	5
1461	2211	2211	2211	2211	2211	2269063453	2017	899278329538367488	*Slams 10pd dumbells on the floor 'Dont eyeball me bitch ! I see ya man over there ! Ill be his 3rd wife by the weekend ! ' #gymproblems #fitfam	0	1	1	2	1	0	4	3.6	Sun Aug 20 14:33:56 +0000 2017	Eastern Time (US & Canada)	Sun	10	Aug	20
1462	2212	2212	2212	2212	2212	2269233056	2015	634921041953968128	<USER> just because you have a friend in band does n't mean you can just say whatever the hell you want about the band and guard . 	0	2	2	1	0	0	2	2.8	Sat Aug 22 02:52:27 +0000 2015	Eastern Time (US & Canada)	Fri	22	Aug	21
1463	2213	2213	2213	2213	2213	2269233056	2015	626779274863898624	Why ca n't you tweet me more ? <URL>	1	3	0	0	1	0	2	2.4	Thu Jul 30 15:39:58 +0000 2015	Eastern Time (US & Canada)	Thu	11	Jul	30
1464	2220	2220	2220	2220	2220	2264317961	2017	831355835687243776	#Diabetic Dani : Sherlock Holmes Is On The Case <URL> #type1diabetes #hashimotos #celiac #lowcarb #glutenfree #keto	0	1	2	1	1	0	3	3.4	Tue Feb 14 04:14:11 +0000 2017	Eastern Time (US & Canada)	Mon	23	Feb	13
1465	2221	2221	2221	2221	2221	2264317961	2014	464596098263158784	Happy Paws Kitten Rescue in Knoxville , Tn needs foster homes ! <URL>	0	0	2	1	2	0	3	4.0	Fri May 09 02:41:56 +0000 2014	Eastern Time (US & Canada)	Thu	22	May	8
1466	2228	2228	2228	2228	2228	2266671356	2017	918550789697650688	<USER> <USER> <USER> <USER> Yay ! Your beard is coming back in ! And I love the new haircut .  💇  It… <URL>	1	1	2	1	0	0	3	2.6	Thu Oct 12 18:55:48 +0000 2017	Central Time (US & Canada)	Thu	14	Oct	12
1467	2229	2229	2229	2229	2229	2266671356	2017	942155952614023168	I fear that the TRULY insidious nature of this order is missed on many people . PLEASE read up on the Nazi 's T4 prog… <URL>	0	1	1	3	0	0	4	3.4	Sat Dec 16 22:14:18 +0000 2017	Central Time (US & Canada)	Sat	16	Dec	16
1468	2234	2234	2234	2234	2234	220223369	2011	93158855885856769	<USER> <USER> <USER> who won . . You never said lol	1	4	0	0	0	0	2	1.8	Tue Jul 19 03:22:56 +0000 2011	Quito	Mon	22	Jul	18
1469	2235	2235	2235	2235	2235	220223369	2012	224682824026951680	<USER> lol you are crazy ! 	3	2	0	0	0	0	1	1.4	Mon Jul 16 01:52:14 +0000 2012	Quito	Sun	21	Jul	15
1470	2238	2238	2238	2238	2238	22051109	2012	223810723887841282	'<USER> : Acaban de matar a las salas de cine . Ha sido un siglo muy bonito'	0	2	0	1	0	2	2	2.6666666666666665	Fri Jul 13 16:06:49 +0000 2012	Madrid	Fri	18	Jul	13
1471	2239	2239	2239	2239	2239	22051109	2017	879038267722797058	El orgullo poético de Elvira Sastre <URL> vía <USER>	0	2	0	1	1	1	2	3.25	Sun Jun 25 18:07:09 +0000 2017	Madrid	Sun	20	Jun	25
1472	2246	2246	2246	2246	2246	21620295	2011	106142468390658048	I unlocked the Priest on DVD Release Week sticker on <USER> ! <URL>	0	1	4	1	0	0	3	3.0	Tue Aug 23 23:15:11 +0000 2011	Pacific Time (US & Canada)	Tue	16	Aug	23
1473	2247	2247	2247	2247	2247	21620295	2014	453254094946172928	<USER> it 's not that scary , but I am more fond of Facebook . 	0	2	4	0	0	0	3	2.6666666666666665	Mon Apr 07 19:32:51 +0000 2014	Pacific Time (US & Canada)	Mon	13	Apr	7
1474	2248	2248	2248	2248	2248	21626832	2011	48553640662798336	A gift from Zena . Zoey named him Patrick . <URL>	0	0	4	1	1	0	3	3.5	Fri Mar 18 01:17:44 +0000 2011	Eastern Time (US & Canada)	Thu	20	Mar	17
1475	2249	2249	2249	2249	2249	21626832	2009	2239134893	is on the move ! </Zandra<	3	2	0	1	0	0	1	1.8333333333333333	Fri Jun 19 15:10:20 +0000 2009	Eastern Time (US & Canada)	Fri	10	Jun	19
1476	2250	2250	2250	2250	2250	219204344	2011	120646618902044673	It 's only a bad call when you 're the one that loses . OH WELL ! WE WIN ! 3-1 ! #giants	0	3	3	0	0	0	2	2.5	Sun Oct 02 23:49:30 +0000 2011	Eastern Time (US & Canada)	Sun	19	Oct	2
1477	2251	2251	2251	2251	2251	219204344	2014	430143779266240512	Denver should work out a trade with t-mobile for Tim Tebow at Halftime . #SB48 #SuperBowlXLVIII	0	0	3	2	1	0	3	3.6666666666666665	Mon Feb 03 01:00:43 +0000 2014	Eastern Time (US & Canada)	Sun	20	Feb	2
1478	2254	2254	2254	2254	2254	21951647	2009	6281764714	STUDY : Males vs . females in social networks - <URL>	3	2	1	0	0	0	1	1.6666666666666667	Wed Dec 02 21:32:55 +0000 2009	Eastern Time (US & Canada)	Wed	17	Dec	2
1479	2255	2255	2255	2255	2255	21951647	2012	247645897050181632	Private social networks for the office : good idea or bad ? <URL>	1	5	0	0	0	0	2	1.8333333333333333	Mon Sep 17 10:39:17 +0000 2012	Eastern Time (US & Canada)	Mon	6	Sep	17
1480	2258	2258	2258	2258	2258	21961636	2012	233672811015716864	One day I 'll quit adding cat faces to everything . <URL>	1	3	1	1	0	0	2	2.333333333333333	Thu Aug 09 21:15:15 +0000 2012	Central Time (US & Canada)	Thu	16	Aug	9
1481	2259	2259	2259	2259	2259	21961636	2011	98669119590768640	babies < MORE CATS <URL>	5	0	0	0	0	0	1	1.0	Wed Aug 03 08:18:45 +0000 2011	Central Time (US & Canada)	Wed	3	Aug	3
1482	2260	2260	2260	2260	2260	2369258387	2015	561951376407019520	Photo : Michael Playing Guitar , Austerlitz , NY , 2015 35mm scan <URL>	0	0	2	2	2	0	3	4.0	Sun Feb 01 18:17:03 +0000 2015	Pacific Time (US & Canada)	Sun	10	Feb	1
1483	2261	2261	2261	2261	2261	2369258387	2014	493994452688437248	Photo books galore at Steven Kasher Gallery <URL>	0	2	3	1	0	0	3	2.833333333333333	Tue Jul 29 05:40:30 +0000 2014	Pacific Time (US & Canada)	Mon	23	Jul	28
1484	2264	2264	2264	2264	2264	237066949	2012	256904597984129025	<USER> haha thank you	4	2	0	0	0	0	1	1.3333333333333333	Fri Oct 12 23:50:03 +0000 2012	Central Time (US & Canada)	Fri	19	Oct	12
1485	2265	2265	2265	2265	2265	237066949	2011	117727830581854208	Witnessing a wedding on the beach yayy #oneday <URL>	0	4	2	0	0	0	2	2.333333333333333	Sat Sep 24 22:31:16 +0000 2011	Central Time (US & Canada)	Sat	18	Sep	24
1486	2266	2266	2266	2266	2266	2371128043	2016	739145274874990593	#DTGiveaway : Enter to #win a Eizo Foris FS2735 Gaming Monitor from <USER> and <USER> ! <URL>	0	0	3	1	2	0	3	3.8333333333333335	Sat Jun 04 17:22:20 +0000 2016	Central Time (US & Canada)	Sat	12	Jun	4
1487	2267	2267	2267	2267	2267	2371128043	2016	800929716664406016	<USER> this is bedass <URL>	3	3	0	0	0	0	1	1.5	Tue Nov 22 05:11:39 +0000 2016	Central Time (US & Canada)	Mon	23	Nov	21
1488	2272	2272	2272	2272	2272	23517690	2017	853682376186122240	<USER> No fun when you miss the 4 minute window and now have to deal w poor traders trying to trade me no count inserts  😫 	0	1	2	2	0	0	3	3.2	Sun Apr 16 18:51:53 +0000 2017	Pacific Time (US & Canada)	Sun	12	Apr	16
1489	2273	2273	2273	2273	2273	23517690	2017	878380261280325633	<USER> <USER> The VIP design is amazing . Tho I'm glad that 's only once a month . If they would only drop the… <URL>	0	2	2	0	1	0	2	3.0	Fri Jun 23 22:32:28 +0000 2017	Pacific Time (US & Canada)	Fri	16	Jun	23
1490	2274	2274	2274	2274	2274	23521579	2012	159030733363617792	Found out a good friend of mine is dying of cancer . It kills me to know nothing they can do for her . 	0	0	1	3	1	0	4	4.0	Mon Jan 16 21:54:16 +0000 2012	Indiana (East)	Mon	17	Jan	16
